,had_nv_imp_first_session,had_non_nv_imp_first_session,had_nv_imp_second_session,had_non_nv_imp_second_session,had_nv_imp_1h,had_non_nv_imp_1h,had_nv_imp_4h,had_non_nv_imp_4h,had_nv_imp_12h,had_non_nv_imp_12h,had_nv_imp_24h,had_non_nv_imp_24h,had_nv_imp_7d,had_non_nv_imp_7d,had_nv_imp_30d,had_non_nv_imp_30d,minutes_to_first_nv_impression,minutes_to_first_non_nv_impression,has_nv_notif_30d,has_nv_notif_60d,dp_has_notif_any_day,dp_has_notif_30d,dp_has_notif_60d,target_ordered_24h,target_first_order_new_cx,target_ordered_month1,target_ordered_month2,target_ordered_month3,target_ordered_month4
had_nv_imp_first_session,1.0,0.801543977707133,0.3449282957472273,0.3734988482725531,0.10671278989560681,0.06506041134417208,0.16868698712511876,0.11126010062096577,0.26073593896138525,0.19353436431934057,0.36926422917751156,0.3163554398571097,0.6370876254439407,0.5715308402033918,0.8813757192582299,0.7596123554373931,0.4140480286936887,0.30337770231405026,0.04429675588032386,0.10421861125826126,0.052000224236268947,0.0520639391834049,0.052000224236268947,0.2168014816156334,0.24155296456656275,0.5210727739882247,0.32407606331117833,0.2849116193734325,0.2602166237504821
had_non_nv_imp_first_session,0.801543977707133,1.0,0.35034332249793126,0.4088200444359163,0.07983748592449118,0.10182897125784982,0.13182892155064613,0.16171569867231847,0.21607639015316088,0.25559319960955795,0.3291859341056884,0.3735977617021842,0.5791364459373706,0.664332855188531,0.8014243616077296,0.9276732593906164,0.37697229541105354,0.41166735343689087,0.042043067427292344,0.10504817056846343,0.056587781124894064,0.0566831841045319,0.056587781124894064,0.21101672372722574,0.2441836501555101,0.5093134982144252,0.3226472967458834,0.2841657470981362,0.26024064929410023
had_nv_imp_second_session,0.3449282957472273,0.35034332249793126,1.0,0.796548569033544,0.1262108696653049,0.13346460884359593,0.2036927504554053,0.20653530769412387,0.2933586182103665,0.2880158411674011,0.3781244616689517,0.3596084972373969,0.4726200866321704,0.43252481078491534,0.4638065859574313,0.41242491135162257,0.025166602042502147,-0.01442136989939533,0.0360843991753238,0.08451904783180918,0.03994448667219131,0.03999111120429303,0.03994448667219131,0.26537910027723016,0.2158819519617674,0.4747844388598168,0.30740031458086037,0.26576837089789385,0.23973772184011524
had_non_nv_imp_second_session,0.3734988482725531,0.4088200444359163,0.796548569033544,1.0,0.12046300641762374,0.13535477659723225,0.19529384284045784,0.21247005228468846,0.2871659013712263,0.30671533828649106,0.3807799157698887,0.39461636131945965,0.5032622521282905,0.4972089376332707,0.5116786878597934,0.48379007477268837,0.05331277834577425,-0.0013131988605042326,0.0380531015387957,0.0952177779146254,0.048709846878334045,0.048758191825286755,0.048709846878334045,0.27508316629130386,0.23732114989807618,0.5256528992863194,0.33877277735047123,0.2931394369402699,0.2659869476367692
had_nv_imp_1h,0.10671278989560681,0.07983748592449118,0.1262108696653049,0.12046300641762374,1.0,0.8414785071976307,0.5933117229894572,0.5123443117317664,0.3597929024771393,0.31211457162086204,0.23573398522955072,0.20718665398904926,0.13449372336055382,0.11722858406961789,0.0957293537163732,0.083530275359546,-0.06063864164796044,-0.06052275726822651,0.0014365115589428255,0.012635487069937123,0.005950963539417443,0.005933985528459688,0.005950963539417443,0.1474501497027798,0.03731556201746062,0.0825629977644131,0.044349579614154075,0.03804578396467707,0.03445561113470127
had_non_nv_imp_1h,0.06506041134417208,0.10182897125784982,0.13346460884359593,0.13535477659723225,0.8414785071976307,1.0,0.5226014441713321,0.6031521042795254,0.32068528267176954,0.3655851275002401,0.21792768256290376,0.2410065578567681,0.13099744980537661,0.13505943746024784,0.09546205744356491,0.09604524525475398,-0.05428436793621191,-0.07049806246816213,0.0005037985971739131,0.013405634470134981,0.006274064926940506,0.0062654780711378505,0.006274064926940506,0.14592633071108818,0.03687750465067423,0.08599539391508494,0.04636845797952154,0.03957936814156469,0.03584195436130513
had_nv_imp_4h,0.16868698712511876,0.13182892155064613,0.2036927504554053,0.19529384284045784,0.5933117229894572,0.5226014441713321,1.0,0.8640015443163246,0.6064146190543621,0.5271581968975352,0.39731894060977246,0.3495889012071483,0.22668307088706885,0.19797575239002188,0.1613474839735649,0.14120398915702725,-0.10062327924442335,-0.10052455532615445,0.005780097483302404,0.021209185073078823,0.009705967748560446,0.00967067749576499,0.009705967748560446,0.2325887036558924,0.06580015786513027,0.1312108909985509,0.0687309557440959,0.05879487057367801,0.052655953324201886
had_non_nv_imp_4h,0.11126010062096577,0.16171569867231847,0.20653530769412387,0.21247005228468846,0.5123443117317664,0.6031521042795254,0.8640015443163246,1.0,0.5355601479104022,0.6061242676702866,0.36055467731224355,0.39957840840932346,0.21598132888635424,0.2239226830213235,0.15664501950752863,0.15923884634286645,-0.08940999457077453,-0.11511992590103642,0.004510043916548228,0.021602949099930834,0.010143709219229332,0.010120732914278584,0.010143709219229332,0.22450993745335934,0.06393403731025883,0.13217290405802737,0.06976416016085969,0.05946237613799089,0.05303728944716555
had_nv_imp_12h,0.26073593896138525,0.21607639015316088,0.2933586182103665,0.2871659013712263,0.3597929024771393,0.32068528267176954,0.6064146190543621,0.5355601479104022,1.0,0.8714039982441242,0.6551935394126616,0.5780743301473643,0.37380871727756576,0.3269471544039572,0.266067932572542,0.23327010529895126,-0.15786503007467778,-0.15832575542705646,0.015271862319655119,0.03507707856475438,0.01587844524665066,0.01588929718674434,0.01587844524665066,0.3794988851058561,0.10438266610640846,0.213469929320176,0.1117517347758714,0.09628166925565315,0.08637942564305241
had_non_nv_imp_12h,0.19353436431934057,0.25559319960955795,0.2880158411674011,0.30671533828649106,0.31211457162086204,0.3655851275002401,0.5271581968975352,0.6061242676702866,0.8714039982441242,1.0,0.5895743932723695,0.6592351267259782,0.353799689893905,0.3694336210658866,0.25744993972762137,0.2627165002894999,-0.13815151192542227,-0.1807774246318444,0.013877241117956787,0.03549829406980503,0.01670036762018816,0.016724956106965595,0.01670036762018816,0.3611818054906769,0.10209522139609267,0.21262743558414918,0.11226663862085137,0.09700869538907989,0.08680599554663194
had_nv_imp_24h,0.36926422917751156,0.3291859341056884,0.3781244616689517,0.3807799157698887,0.23573398522955072,0.21792768256290376,0.39731894060977246,0.36055467731224355,0.6551935394126616,0.5895743932723695,1.0,0.8857468639519877,0.5705317509886869,0.5009895788663069,0.4060905924241516,0.35752165198304103,-0.22245134043384512,-0.22480657008884608,0.023869912827717915,0.05972276588154848,0.028707349384103225,0.028759973844360014,0.028707349384103225,0.5962996681458863,0.14017125695070587,0.34676183069817745,0.1887529858164264,0.1653987398664323,0.14965046577572744
had_non_nv_imp_24h,0.3163554398571097,0.3735977617021842,0.3596084972373969,0.39461636131945965,0.20718665398904926,0.2410065578567681,0.3495889012071483,0.39957840840932346,0.5780743301473643,0.6592351267259782,0.8857468639519877,1.0,0.5365251850461367,0.5603973545836666,0.39287736468908174,0.3985171445493669,-0.18964928729353922,-0.2539581274408742,0.02216282769437222,0.058836844584083364,0.029262683119622764,0.029330706555158806,0.029262683119622764,0.5592196359271677,0.13883544177581608,0.34181747543377256,0.18856749074050028,0.16535002251288353,0.14940663755712566
had_nv_imp_7d,0.6370876254439407,0.5791364459373706,0.4726200866321704,0.5032622521282905,0.13449372336055382,0.13099744980537661,0.22668307088706885,0.21598132888635424,0.37380871727756576,0.353799689893905,0.5705317509886869,0.5365251850461367,1.0,0.8668915115709052,0.7117756228648465,0.6229578206965035,-0.17305019759944512,-0.19103691092256264,0.040398530860169,0.10226228041880135,0.05173009431575042,0.051807225681210586,0.05173009431575042,0.3444716923838503,0.21901567605473915,0.5350794043389223,0.3176739757680736,0.2795698158669334,0.25450370552524765
had_non_nv_imp_7d,0.5715308402033918,0.664332855188531,0.43252481078491534,0.4972089376332707,0.11722858406961789,0.13505943746024784,0.19797575239002188,0.2239226830213235,0.3269471544039572,0.3694336210658866,0.5009895788663069,0.5603973545836666,0.8668915115709052,1.0,0.6655550023766217,0.711133165226092,-0.10014082001717223,-0.20611467834547598,0.0395292162234891,0.10066007919218257,0.05397522857380852,0.054068524226275796,0.05397522857380852,0.31368580974339466,0.2113843146669964,0.5070541560575765,0.3056246776590803,0.2689593496340278,0.24572791101992342
had_nv_imp_30d,0.8813757192582299,0.8014243616077296,0.4638065859574313,0.5116786878597934,0.0957293537163732,0.09546205744356491,0.1613474839735649,0.15664501950752863,0.266067932572542,0.25744993972762137,0.4060905924241516,0.39287736468908174,0.7117756228648465,0.6655550023766217,1.0,0.8631978895804556,0.48362135180460586,0.3186036719286596,0.04836156877934481,0.11787435937315772,0.060710679636063615,0.060801293436825485,0.060710679636063615,0.24662653460867018,0.2817315319452011,0.5962295387951052,0.37118120402046995,0.32525749254182257,0.29600843370164737
had_non_nv_imp_30d,0.7596123554373931,0.9276732593906164,0.41242491135162257,0.48379007477268837,0.083530275359546,0.09604524525475398,0.14120398915702725,0.15923884634286645,0.23327010529895126,0.2627165002894999,0.35752165198304103,0.3985171445493669,0.6229578206965035,0.711133165226092,0.8631978895804556,1.0,0.4060046129798097,0.449267571143109,0.045506064032843054,0.11339164452238906,0.06218928562544012,0.06230761555262953,0.06218928562544012,0.22329974870319652,0.26348879246569606,0.5431272772121775,0.3454613797703656,0.3038227654895524,0.27751888164801697
minutes_to_first_nv_impression,0.4140480286936887,0.37697229541105354,0.025166602042502147,0.05331277834577425,-0.06063864164796044,-0.05428436793621191,-0.10062327924442335,-0.08940999457077453,-0.15786503007467778,-0.13815151192542227,-0.22245134043384512,-0.18964928729353922,-0.17305019759944512,-0.10014082001717223,0.48362135180460586,0.4060046129798097,1.0,0.7659905055442084,0.013373933086418642,0.03181689922226837,0.01767188522045673,0.017691835892139546,0.01767188522045673,-0.13167678648186906,0.10974707709030894,0.13768257906385872,0.10992130647651173,0.09392440622610185,0.08544170589534336
minutes_to_first_non_nv_impression,0.30337770231405026,0.41166735343689087,-0.01442136989939533,-0.0013131988605042326,-0.06052275726822651,-0.07049806246816213,-0.10052455532615445,-0.11511992590103642,-0.15832575542705646,-0.1807774246318444,-0.22480657008884608,-0.2539581274408742,-0.19103691092256264,-0.20611467834547598,0.3186036719286596,0.449267571143109,0.7659905055442084,1.0,0.00975918357111105,0.023389027319249116,0.014470500962933602,0.014491469690063116,0.014470500962933602,-0.14186321711760366,0.08512711982101258,0.07785133538929134,0.07582137411445643,0.06524169313381149,0.06049899848056442
has_nv_notif_30d,0.04429675588032386,0.042043067427292344,0.0360843991753238,0.0380531015387957,0.0014365115589428255,0.0005037985971739131,0.005780097483302404,0.004510043916548228,0.015271862319655119,0.013877241117956787,0.023869912827717915,0.02216282769437222,0.040398530860169,0.0395292162234891,0.04836156877934481,0.045506064032843054,0.013373933086418642,0.00975918357111105,1.0,0.3813267537040553,0.11559869924999357,0.1157207916449446,0.11559869924999357,0.02795855464047427,-0.001174174400051068,0.06402357261593941,0.04927564169745175,0.04532371939534189,0.04288712096147456
has_nv_notif_60d,0.10421861125826126,0.10504817056846343,0.08451904783180918,0.0952177779146254,0.012635487069937123,0.013405634470134981,0.021209185073078823,0.021602949099930834,0.03507707856475438,0.03549829406980503,0.05972276588154848,0.058836844584083364,0.10226228041880135,0.10066007919218257,0.11787435937315772,0.11339164452238906,0.03181689922226837,0.023389027319249116,0.3813267537040553,1.0,0.33128086433076814,0.33134538873538516,0.33128086433076814,0.07052745563914196,0.016141255644370325,0.1552653117042123,0.1228847829033208,0.0963717082531031,0.08706295165111373
dp_has_notif_any_day,0.052000224236268947,0.056587781124894064,0.03994448667219131,0.048709846878334045,0.005950963539417443,0.006274064926940506,0.009705967748560446,0.010143709219229332,0.01587844524665066,0.01670036762018816,0.028707349384103225,0.029262683119622764,0.05173009431575042,0.05397522857380852,0.060710679636063615,0.06218928562544012,0.01767188522045673,0.014470500962933602,0.11559869924999357,0.33128086433076814,1.0,0.999094856272704,1.0,0.03240088064150714,0.004200918864876732,0.0754379650147449,0.04974311104974911,0.037953183541428695,0.033191218687979744
dp_has_notif_30d,0.0520639391834049,0.0566831841045319,0.03999111120429303,0.048758191825286755,0.005933985528459688,0.0062654780711378505,0.00967067749576499,0.010120732914278584,0.01588929718674434,0.016724956106965595,0.028759973844360014,0.029330706555158806,0.051807225681210586,0.054068524226275796,0.060801293436825485,0.06230761555262953,0.017691835892139546,0.014491469690063116,0.1157207916449446,0.33134538873538516,0.999094856272704,1.0,0.999094856272704,0.03247677199650129,0.004096534346337119,0.07556778812454602,0.04966698097737616,0.03793504240384385,0.033236702459012925
dp_has_notif_60d,0.052000224236268947,0.056587781124894064,0.03994448667219131,0.048709846878334045,0.005950963539417443,0.006274064926940506,0.009705967748560446,0.010143709219229332,0.01587844524665066,0.01670036762018816,0.028707349384103225,0.029262683119622764,0.05173009431575042,0.05397522857380852,0.060710679636063615,0.06218928562544012,0.01767188522045673,0.014470500962933602,0.11559869924999357,0.33128086433076814,1.0,0.999094856272704,1.0,0.03240088064150714,0.004200918864876732,0.0754379650147449,0.04974311104974911,0.037953183541428695,0.033191218687979744
target_ordered_24h,0.2168014816156334,0.21101672372722574,0.26537910027723016,0.27508316629130386,0.1474501497027798,0.14592633071108818,0.2325887036558924,0.22450993745335934,0.3794988851058561,0.3611818054906769,0.5962996681458863,0.5592196359271677,0.3444716923838503,0.31368580974339466,0.24662653460867018,0.22329974870319652,-0.13167678648186906,-0.14186321711760366,0.02795855464047427,0.07052745563914196,0.03240088064150714,0.03247677199650129,0.03240088064150714,1.0,0.13941769331379147,0.4108469018551194,0.1961768170774799,0.17447107688041638,0.15924005935376467
target_first_order_new_cx,0.24155296456656275,0.2441836501555101,0.2158819519617674,0.23732114989807618,0.03731556201746062,0.03687750465067423,0.06580015786513027,0.06393403731025883,0.10438266610640846,0.10209522139609267,0.14017125695070587,0.13883544177581608,0.21901567605473915,0.2113843146669964,0.2817315319452011,0.26348879246569606,0.10974707709030894,0.08512711982101258,-0.001174174400051068,0.016141255644370325,0.004200918864876732,0.004096534346337119,0.004200918864876732,0.13941769331379147,1.0,0.37324770884599384,0.2908284963126012,0.27411024211478485,0.26383371004896833
target_ordered_month1,0.5210727739882247,0.5093134982144252,0.4747844388598168,0.5256528992863194,0.0825629977644131,0.08599539391508494,0.1312108909985509,0.13217290405802737,0.213469929320176,0.21262743558414918,0.34676183069817745,0.34181747543377256,0.5350794043389223,0.5070541560575765,0.5962295387951052,0.5431272772121775,0.13768257906385872,0.07785133538929134,0.06402357261593941,0.1552653117042123,0.0754379650147449,0.07556778812454602,0.0754379650147449,0.4108469018551194,0.37324770884599384,1.0,0.5082153947054274,0.4379962838984418,0.3941585976032835
target_ordered_month2,0.32407606331117833,0.3226472967458834,0.30740031458086037,0.33877277735047123,0.044349579614154075,0.04636845797952154,0.0687309557440959,0.06976416016085969,0.1117517347758714,0.11226663862085137,0.1887529858164264,0.18856749074050028,0.3176739757680736,0.3056246776590803,0.37118120402046995,0.3454613797703656,0.10992130647651173,0.07582137411445643,0.04927564169745175,0.1228847829033208,0.04974311104974911,0.04966698097737616,0.04974311104974911,0.1961768170774799,0.2908284963126012,0.5082153947054274,1.0,0.5882781889526152,0.5160582225521744
target_ordered_month3,0.2849116193734325,0.2841657470981362,0.26576837089789385,0.2931394369402699,0.03804578396467707,0.03957936814156469,0.05879487057367801,0.05946237613799089,0.09628166925565315,0.09700869538907989,0.1653987398664323,0.16535002251288353,0.2795698158669334,0.2689593496340278,0.32525749254182257,0.3038227654895524,0.09392440622610185,0.06524169313381149,0.04532371939534189,0.0963717082531031,0.037953183541428695,0.03793504240384385,0.037953183541428695,0.17447107688041638,0.27411024211478485,0.4379962838984418,0.5882781889526152,1.0,0.6115222132915478
target_ordered_month4,0.2602166237504821,0.26024064929410023,0.23973772184011524,0.2659869476367692,0.03445561113470127,0.03584195436130513,0.052655953324201886,0.05303728944716555,0.08637942564305241,0.08680599554663194,0.14965046577572744,0.14940663755712566,0.25450370552524765,0.24572791101992342,0.29600843370164737,0.27751888164801697,0.08544170589534336,0.06049899848056442,0.04288712096147456,0.08706295165111373,0.033191218687979744,0.033236702459012925,0.033191218687979744,0.15924005935376467,0.26383371004896833,0.3941585976032835,0.5160582225521744,0.6115222132915478,1.0
